Species    Freq.     Unc.     J'(K-',K+') - J''(K-'',K+'')   F'  F1' -  F''  F1''  Vib.     Ref.                                                              

H_216O    22235.044  (1E-3)        6(1,6) -        5( 2,3)    7      -    6        (0,0,0)  [69033]
          51917.87   (0.10)       12(5,7) -       12( 5,8)                         (0,0,0)                                                                    
          61185.95   (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)  [70028]
          61704.59   (0.20)        9(4,5) -        9( 4,6)                         (0,0,0)                                                                    
          63155.55   (0.10)        6(3,3) -        6( 3,4)                         (0,1,0)  [71035]
          64427.34   (0.10)        6(3,3) -        6( 3,4)                         (0,0,0)  [70028]
          67153.04   (0.10)        3(1,2) -        2( 2,1)                         (0,1,0)  [71035]
          69550.58   (0.10)        6(0,6) -        5( 2,3)                         (0,0,0)  [70023]
          80578.15   (0.15)        1(1,0) -        1( 1,1)                         (0,0,0)  [56016]
          87962.81   (0.02)        7(3,5) -        6( 4,2)                         (0,0,0)  [71037]
         120778.19   (0.01)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         127527.533  (*3.00)       7(1,6) -        6( 3,3)                         (0,0,0)  [74005]
         134770.22   (0.04)       10(4,6) -       10( 4,7)                         (0,0,0)  [71037]
         138530.57   (0.06)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         143727.21   (0.04)        4(2,2) -        4( 2,3)                         (0,0,0)                                                                    
         151616.19   (0.03)        7(3,4) -        7( 3,5)                         (0,0,0)                                                                    
         160329.47   (0.10)        9(6,4) -       10( 5,5)                         (0,0,0)  [70023]
         169246.05   (0.10)        9(6,3) -       10( 5,6)                         (0,0,0)  [71037]
         207110.65   (0.10)        3(2,1) -        4( 0,4)                         (0,0,0)  [73061]
         207345.71   (0.07)        7(2,5) -        8( 1,8)                         (0,0,0)  [71037]
         210310.65   (0.02)        9(4,6) -        8( 5,3)                         (0,0,0)                                                                    
         225896.72   (0.04)        3(1,2) -        2( 2,1)                         (0,0,0)                                                                    
         228072.253  (*0.51)       7(2,5) -        8( 0,8)                         (0,0,0)  [74005]
         241561.55   (0.04)        2(1,1) -        2( 1,2)                         (0,0,0)  [71037]
         241973.57   (0.04)        7(3,4) -        6( 4,3)                         (0,0,0)                                                                    
         255050.26   (0.06)        5(2,3) -        4( 3,2)                         (0,0,0)                                                                    
         258223.76   (0.10)        7(5,3) -        8( 4,4)                         (0,0,0)                                                                    
         266161.07   (0.03)        2(2,0) -        3( 1,3)                         (0,0,0)                                                                    
         272907.54   (0.03)        9(4,5) -        8( 5,4)                         (0,0,0)                                                                    
         283318.59   (0.02)        7(5,2) -        8( 4,5)                         (0,0,0)                                                                    
         305038.55   (0.11)        8(3,5) -        8( 3,6)                         (0,0,0)                                                                    
         310533.29   (0.05)        5(2,3) -        5( 2,4)                         (0,0,0)                                                                    
         313750.62   (0.03)        6(2,5) -        5( 3,2)                         (0,0,0)                                                                    
         317151.25   (0.05)        5(4,2) -        6( 3,3)                         (0,0,0)                                                                    
         335395.50   (0.03)        3(3,1) -        4( 2,2)                         (0,0,0)                                                                    
         356839.62   (*1.79)       5(3,2) -        6( 1,5)                         (0,0,0)  [74005]
         382065.10   (0.09)        5(4,1) -        6( 3,4)                         (0,0,0)  [71037]
         464924.52   (0.03)        1(0,1) -        0( 0,0)                         (0,0,0)                                                                    
         479947.37   (0.10)        3(3,0) -        4( 2,3)                         (0,0,0)                                                                    
         481779.50   (0.28)        3(1,2) -        3( 1,3)                         (0,0,0)                                                                    
         490596.64   (0.06)        2(0,2) -        1( 1,1)                         (0,0,0)                                                                    
         497675.668  (*4.53)       8(1,7) -        7( 3,4)                         (0,0,0)  [74005]
         509292.42   (0.05)        1(1,0) -        1( 0,1)                         (0,0,0)  [71037]
         537792.770  (*0.24)       2(2,0) -        3( 0,3)                         (0,0,0)  [74005]
         539935.90   (0.34)        8(3,6) -        7( 4,3)                         (0,0,0)  [71037]
         540375.466  (*0.94)       9(3,6) -        9( 3,7)                         (0,0,0)  [74005]
         548552.311  (*1.77)       8(2,6) -        9( 1,9)                         (0,0,0)                                                                    
         559427.696  (*1.96)       8(2,6) -        9( 0,9)                         (0,0,0)                                                                    
         559816.74   (0.29)        6(2,4) -        6( 2,5)                         (0,0,0)  [71037]
         599926.71   (0.12)        2(1,1) -        2( 0,2)                         (0,0,0)                                                                    
         622483.456  (*0.61)       7(2,6) -        6( 3,3)                         (0,0,0)  [74005]
         753411.15   (0.38)        3(1,2) -        3( 0,3)                         (0,0,0)  [71037]
         766163.057  (*2.14)       6(5,2) -        7( 4,3)                         (0,0,0)  [74005]
         774776.302  (*2.12)       6(5,1) -        7( 4,4)                         (0,0,0)                                                                    
         797486.719  (*0.25)       4(1,3) -        4( 1,4)                         (0,0,0)                                                                    
D_216O    10919.301  (1E-3)        3(1,3) -        2( 2,0)    3    0 -    2     0  (0,0,0)  [57009]
          10919.357  (1E-3)        3(1,3) -        2( 2,0)    5    2 -    4     2  (0,0,0)                                                                    
          10919.420  (*1E-4)       3(1,3) -        2( 2,0)                         (0,0,0)  [70024]
          10919.521  (1E-3)        3(1,3) -        2( 2,0)    4    2 -    3     2  (0,0,0)  [57009]
          10919.603  (1E-3)        3(1,3) -        2( 2,0)    3    2 -    2     2  (0,0,0)                                                                    
          10947.113  (1E-4)        4(4,1) -        5( 3,2)                         (0,0,0)  [70024]
          29695.58   (0.10)        4(1,4) -        3( 2,1)                         (0,1,0)  [71038]
          30182.49   (0.03)        8(7,2) -        9( 6,3)                         (0,0,0)  [73056]
          30778.50   (0.03)        8(7,1) -        9( 6,4)                         (0,0,0)                                                                    
          43414.57   (0.03)        4(2,3) -        3( 3,0)                         (0,0,0)  [56016]
          50538.74   (0.10)        5(2,3) -        6( 1,6)                         (0,1,0)  [71038]
          51436.58   (0.10)        5(1,5) -        4( 2,2)                         (0,1,0)                                                                    
          54216.60   (0.10)        4(2,2) -        3( 3,1)                         (0,1,0)                                                                    
          55482.32   (0.03)        4(4,0) -        5( 3,3)                         (0,0,0)  [56016]
          70240.63   (0.03)        8(5,4) -        7( 6,1)                         (0,0,0)  [70028]
          74471.69   (0.03)        8(5,3) -        7( 6,2)                         (0,0,0)                                                                    
          93350.06   (0.03)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         103076.40   (0.06)        9(8,2) -       10( 7,3)                         (0,0,0)                                                                    
         103152.89   (0.06)        9(8,1) -       10( 7,4)                         (0,0,0)                                                                    
         104875.71   (0.06)        6(2,4) -        7( 1,7)                         (0,0,0)                                                                    
         120183.28   (0.06)      11(2,10) -       10( 3,7)                         (0,0,0)  [70026]
         145134.80   (0.06)       10(9,2) -       11( 8,3)                         (0,0,0)  [70023]
         145143.82   (0.06)       10(9,1) -       11( 8,4)                         (0,0,0)                                                                    
         151710.40   (0.06)        4(1,4) -        3( 2,1)                         (0,0,0)  [70028]
         180171.22   (0.09)        5(5,1) -        6( 4,2)                         (0,0,0)                                                                    
         181883.02   (0.09)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         187633.10   (0.09)        5(5,0) -        6( 4,3)                         (0,0,0)                                                                    
         192519.44   (0.09)        7(4,4) -        6( 5,1)                         (0,0,0)                                                                    
         215689.00   (0.09)       12(8,5) -       11( 9,2)                         (0,0,0)  [70023]
         215731.72   (0.09)       12(8,4) -       11( 9,3)                         (0,0,0)                                                                    
         218442.50   (0.09)        7(4,3) -        6( 5,2)                         (0,0,0)  [70028]
         227010.50   (0.09)        4(2,2) -        3( 3,1)                         (0,0,0)                                                                    
