 53 2025.553241 1.826E-22 1.481E+01.05310.057  559.76050.69-.002822              1              0                    P 17      475663 510 5 5 1 8    33.0   35.0
 51 2025.876269 3.518E-28 4.551E+01.05380.058 4773.01610.70-.002814              3              2                    P 16      475663 510 5 5 1 8    31.0   33.0
 52 2027.122148 1.691E-29 4.796E+01.06510.071 4220.97180.74-.002148              3              2                    P  5      475663 510 5 5 1 8    18.0   22.0
 53 2027.164416 2.722E-30 4.924E+01.06770.074 4194.99150.74-.001961              3              2                    P  4      475663 510 5 5 1 8     7.0    9.0
 51 2027.649176 2.060E-21 1.508E+01.04650.049 1449.93590.67-.002819              1              0                    P 27      475623 510 5 5 1 8    53.0   55.0
 52 2028.907205 2.365E-25 3.028E+01.05770.063 2336.42240.75-.002699              2              1                    P 11      475663 510 5 5 1 8    42.0   46.0
 53 2029.167250 4.742E-26 3.038E+01.05860.064 2291.67320.75-.002651              2              1                    P 10      475663 510 5 5 1 8    19.0   21.0
 52 2029.236273 1.020E-21 1.493E+01.05310.057  561.89580.69-.002822              1              0                    P 17      475663 510 5 5 1 8    66.0   70.0
 51 2029.655904 1.536E-24 3.035E+01.05030.053 3022.08730.67-.002832              2              1                    P 21      475623 510 5 5 1 8    41.0   43.0
 53 2029.717545 2.328E-22 1.493E+01.05380.058  497.61620.70-.002814              1              0                    P 16      475663 510 5 5 1 8    31.0   33.0
 51 2030.158686 4.431E-28 4.589E+01.05450.059 4712.71560.71-.002803              3              2                    P 15      475663 510 5 5 1 8    29.0   31.0
 53 2030.858074 2.194E-30 5.199E+01.07120.077 4180.60530.74-.001726              3              2                    P  3      475663 510 5 5 1 8     5.0    7.0
 52 2030.862144 1.479E-29 4.961E+01.06770.074 4202.92200.74-.001961              3              2                    P  4      475663 510 5 5 1 8    14.0   18.0
 51 2032.352848 3.284E-21 1.519E+01.04710.050 1346.60080.67-.002822              1              0                    P 26      475623 510 5 5 1 8    51.0   53.0
 52 2032.870174 2.617E-25 3.061E+01.05860.064 2296.37670.75-.002651              2              1                    P 10      475663 510 5 5 1 8    38.0   42.0
 53 2033.083415 5.101E-26 3.074E+01.05950.065 2255.40100.75-.002591              2              1                    P  9      475663 510 5 5 1 8    17.0   19.0
 52 2033.417411 1.302E-21 1.504E+01.05380.058  499.51460.70-.002814              1              0                    P 16      475663 510 5 5 1 8    62.0   66.0
 53 2033.851449 2.907E-22 1.505E+01.05450.059  439.11570.71-.002803              1              0                    P 15      475663 510 5 5 1 8    29.0   31.0
 51 2034.135174 2.160E-24 3.059E+01.05100.054 2942.30280.67-.002832              2              1                    P 20      475663 510 5 5 1 8    39.0   41.0
 51 2034.408303 5.455E-28 4.630E+01.05530.059 4656.17240.72-.002787              3              2                    P 14      475663 510 5 5 1 8    27.0   29.0
 53 2034.519606 1.544E-30 5.808E+01.07570.081 4169.81520.75-.001431              3              2                    P  2      475663 510 5 5 1 8     3.0    5.0
 52 2034.569965 1.192E-29 5.238E+01.07120.077 4188.48140.74-.001726              3              2                    P  3      475663 510 5 5 1 8    10.0   14.0
 52 2036.801770 2.817E-25 3.097E+01.05950.065 2259.96680.75-.002591              2              1                    P  9      475663 510 5 5 1 8    34.0   38.0
